Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2019-02-12,44650,46250,44650,46050,13184367,0.0233333333333334,71.1864406779661,0.1561071623838164,1
2019-02-13,46400,46700,46000,46200,11299738,0.003257328990228,70.17543859649123,0.1052178834182232,1
2019-02-14,46600,47500,46150,47500,17259341,0.0281385281385282,78.91891891891892,0.530518840007891,0
2019-02-15,46750,46850,45650,46050,10554643,-0.0305263157894737,69.19431279620854,0.0250858925082799,1
2019-02-18,46500,46850,45850,46200,8183728,0.003257328990228,66.32124352331607,0.0,0
2019-02-19,45850,46150,45450,45950,6741395,-0.0054112554112554,57.31707317073171,0.0,1
2019-02-20,46750,47100,46500,46900,11506720,0.0206746463547333,60.451977401129945,0.1023316939668603,1
2019-02-21,46500,47200,46200,46950,8694009,0.0010660980810235,58.57988165680473,0.0412214607012612,1
2019-02-22,46500,47150,46450,47150,6895772,0.0042598509052182,54.83870967741936,0.0,1
2019-02-25,47400,47550,47050,47350,7484716,0.0042417815482502,57.79220779220779,0.0891942564477773,0
2019-02-26,47350,47450,46500,46750,7985547,-0.0126715945089757,52.46913580246914,0.0,0
2019-02-27,47000,47250,46750,46750,8045211,0.0,53.459119496855344,0.0374288019689094,0
2019-02-28,46400,46500,45100,45100,23569321,-0.0352941176470588,51.82926829268292,0.0,0
2019-03-04,46000,46100,44800,44850,12926539,-0.0055432372505542,49.09090909090909,0.0,0
2019-03-05,44600,45100,44150,44250,10612405,-0.0133779264214046,38.46153846153846,0.0,0
2019-03-06,44000,44300,43700,44000,10202544,-0.0056497175141242,36.07594936708861,0.0,1
2019-03-07,43400,44950,43400,44450,11049749,0.0102272727272727,28.36879432624113,0.0,0
2019-03-08,44450,44800,43800,43800,7729069,-0.014623172103487,32.0,0.0956777691711852,0
2019-03-11,44400,44450,43650,43650,10717408,-0.0034246575342465,29.599999999999994,0.038375421506182,1
2019-03-12,44300,44950,44150,44650,11431977,0.0229095074455898,40.71428571428572,0.3847963389177328,0
2019-03-13,44250,44450,43700,43850,8108343,-0.0179171332586786,27.737226277372255,0.0,0
2019-03-14,43700,44300,43550,43850,18039161,0.0,27.20588235294117,0.0,1
2019-03-15,43800,44250,43700,44200,16814163,0.0079817559863168,28.77697841726618,0.0513659631146158,0
2019-03-18,43950,44150,43450,43700,8188876,-0.01131221719457,24.827586206896555,0.0,1
